,title,company,salary,location,company_rating,description
67,Data Scientist- Remote,Divisions Maintenance Group,,"Remote in Newport, KY+1 location",2.6,
68,Data Scientist,Paytronix Systems,,"Newton, MA 02458 (Nonantum area)+1 location",4.5,
69,"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,,"Seattle, WA 98119 (Queen Anne area)+5 locations",3.9,
70,Machine Learning Engineer/Data Scientist - Enterprise Analyt...,UNC Health,,"Morrisville, NC 27560",3.9,
71,Data Scientist II,GCI,,Alaska,4.0,
72,Data Scientist (Validations team),StreetLight Data,,"San Francisco, CA 94107 (Financial District/South Beach area)",,
73,Data Science Analyst,UNITED PARCEL SERVICE,,"Atlanta, GA 30328",3.7,
74,Product Management Data Scientist,DHL eCommerce,,"Weston, FL 33331",3.7,
75,"The Carter Center: Data Scientist, Health Programs",Emory University,,"Temporarily Remote in Atlanta, GA",4.0,
76,Data Scientist,IQVIA,,"Cambridge, MA+7 locations",3.8,
77,Staff Imaging and Data Scientist,"Alphatec Spine, Inc.",,"Carlsbad, CA 92008",3.3,
78,Data Scientist I,Resurgent Capital Services,,"Greenville, SC 29601",3.5,
79,Senior Data Scientist,Vistra Corporate Services Company,,"Irving, TX 75039 (Freeport/Hackberry area)",3.7,
80,Senior Data Scientist Manager,Snowflake,,"San Mateo, CA 94401 (Downtown area)",,
81,Data Scientist,Rubicon,,"Sacramento, CA 95825 (Campus Commons area)",3.3,
82,Data Scientist,Bechtel Plant Machinery Inc,,"Monroeville, PA 15146",3.6,
83,Consumer Insight Data Science – CWM Engineering – Associate...,Goldman Sachs,,"Richardson, TX 75082+3 locations",4.0,
84,Data Scientist,Health Advocate,,Remote,2.9,
85,Business Data Analyst Sr,University of Utah,"$60,700 - $101,649 a year","Salt Lake City, UT 84112 (East Bench area)",4.2,
86,Data Scientist,Bechtel Plant Machinery Inc,,"Monroeville, PA 15146",3.6,
87,Data Scientist,MGIC,,"Milwaukee, WI",4.1,
