,title,company,salary,location,company_rating,description
42,Data Scientist,Simon & Schuster,,"Concord, MA",3.6,"Simon & Schuster is a global leader in general interest publishing, dedicated to providing the best in fiction and nonfiction for readers of all ages, and in all printed, digital and audio formats. Its distinguished roster of authors includes many of the world’s most popular and widely recognized writers, and winners of the most prestigious literary honors and awards.
It is home to numerous well-known imprints and divisions such as Simon & Schuster, Scribner, Atria Books, Gallery Books, Pocket Books, Adams Media, Simon & Schuster Children’s Publishing and Simon & Schuster Audio and international companies in Australia, Canada, India and the United Kingdom, and proudly brings the works of its authors to readers in more than 200 countries and territories. For more information visit our website at www.simonandschuster.com.
We are currently looking for a Data Scientist to join the Adams Media team and support our 360 data-driven acquisition and marketing model. This position will report to the publisher and work closely with both editorial and marketing leadership.
Adams Media, an imprint of Simon & Schuster informs, instructs, and inspires readers across a variety of lifestyle categories by providing the content they’re looking for, from the experts they follow and trust. From New Age to Personal Finance, Cooking to Self-Help, Adams Media researches, identifies, creates, and distributes accessible content with implicit discoverability. Embodying a uniquely flexible “ground-up” publishing model, Adams Media navigates within or between consumer categories as market opportunity dictates. These are the books people are searching for!
The Data Scientist is responsible for supporting data science initiatives that drive product development, business profitability and increased efficiencies. This role applies strategic analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems.
As a Data Scientist, you will collaborate with business partners and cross-functional teams to apply advanced analytics methods and algorithms for identifying trends and providing business solutions. In addition, this role is expected to present insights and recommendations to non-technical audiences, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.
MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES
55% Solution Development – Familiarize yourself with our existing line of internal tools – which includes both custom built products and third party applications – and understand their value to each department and to the company as a whole. Design and develop algorithms and models to use against large datasets to create business insights; Execute tasks with high levels of efficiency and quality; Make appropriate selection, utilization and interpretation of advanced analytical methodologies. Work with central science, engineering and product teams to implement improvements.
20% Business Collaboration – Incorporate business knowledge into solution approach; Effectively develop trust and collaboration with internal customers and cross-functional teams; Work with project teams and business partners to determine project goals
15% Technical Exploration & Development – Seek further knowledge on key developments within data science, technical skill sets, and additional data sources
10% Communicating Results – Effectively communicate insights and recommendations to both technical and non-technical leaders; Present recommendations in a confident manner in order to influence execution of recommendation; Prepare reports, updates and/or presentations related to progress made on a project or solution; Clearly communicate impacts of recommendations to drive alignment and appropriate implementation
QUALIFICATIONS
An undergraduate degree in mathematics, statistics, computer science, economics, industrial engineering, data science, or a social science with a quantitative focus. MS preferred
Multiple years of relevant work experience in BI, Analytics, Data Science or comparable fields
Proven experience with relational databases, data querying languages (e.g. SQL), scripting languages (e.g. Python, R), or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) as well as Google Cloud Platform, including BigQuery
Relevant working experience in transformation, optimization and analysis of massive structured and unstructured data sets
Track record of developing and applying statistical/ML models to business problems
Experience in working on and delivering end-to-end projects independently
Experience processing, filtering, and working with large datasets
Experience designing experiments, and ability to infer causal relationships
Excellent written and verbal communication skills including data visualization, especially in regards to quantitative topics discussed with non-technical colleagues
Experience with search engine optimization topics such as information retrieval and query classification
Experience collaborating with software development teams, data scientists, business intelligence or other technical roles
Ability to effectively advocate technical solutions to data and engineering teams, and business audiences
Strong organizational and multitasking skills with ability to balance competing priorities in a fast-paced environment
Curiosity and a desire to both learn about and positively impact business model
Please note that Adams Media is located in Stoughton, MA but we are open to candidates that would prefer to remain remote.
ViacomCBS is an equal opportunity employer (EOE) including disability/vet.
At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.
If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling
212.846.5500
or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
43,Data Scientist,SYNTASA,,"Remote in McLean, VA",3.5,"Data Scientist
Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches
Develop a deep understanding of customers’ context and help them translate the business use cases into data science solutions
Effectively manage the delivery to our customers of professional services that include assisted software installation, customer training/coaching, and co-development of data science projects
Maintain consistent and concise internal communication across multiple teams
Ensure customer satisfaction throughout the implementation process
Location
Herndon, Virginia
Department
Engineering
Employment Type
Full-Time
Minimum Experience
Experienced"
44,REMOTE - Data Scientist - Bus Ops and Finance,City of Hope,,"Remote in Irwindale, CA+1 location",3.7,"About City of Hope
City of Hope is an independent biomedical research and treatment organization for cancer, diabetes and other life-threatening diseases.
Founded in 1913, City of Hope is a leader in bone marrow transplantation and immunotherapy such as CAR T cell therapy. City of Hope’s translational research and personalized treatment protocols advance care throughout the world. Human synthetic insulin, monoclonal antibodies and numerous breakthrough cancer drugs are based on technology developed at the institution. AccessHope™, a subsidiary launched in 2019 serves employers and their health care partners by providing access to City of Hope’s specialized cancer expertise.
A National Cancer Institute-designated comprehensive cancer center and a founding member of the National Comprehensive Cancer Network, City of Hope is ranked among the nation’s “Best Hospitals” in cancer by U.S. News & World Report and received Magnet Recognition from the American Nurses Credentialing Center. Its main campus is located near Los Angeles, with additional locations throughout Southern California and in Arizona.
City of Hope’s commitment to Diversity, Equity and Inclusion
We believe diversity, equity and inclusion is key in serving our mission to provide compassionate patient care, drive innovative discovery, and advance vital education focused on eliminating cancer and diabetes in all of our communities. Our commitment to Diversity, Equity and Inclusion ensures we bring the full range of skills, perspectives, cultural backgrounds and experiences to our work - and that our teams align with the people we serve in order to build trust and understanding. We are dedicated to fostering a community that embraces diversity - in ideas, backgrounds and perspectives; this is reflected in our work and represented in our people.
** This is a Fully Remote Opportunity. You may sit at any of the 48 States **
Position Summary
City of Hope, an innovative biomedical research, treatment and educational institution with over 6000 employees, is dedicated to the prevention and cure of cancer and other life-threatening diseases and guided by a compassionate, patient-centered philosophy.
Founded in 1913 and headquartered in Duarte, California, City of Hope is a remarkable non-profit institution, where compassion and advanced care go hand-in-hand with excellence in clinical and scientific research. City of Hope is a National Cancer Institute designated Comprehensive Cancer Center and a founding member of the National Comprehensive Cancer Network, an alliance of the nation’s leading cancer centers that develops and institutes standards of care for cancer treatment.
The Data Scientist in this role will query and analyze large complex datasets to discover insights to apply to an evolving cancer care delivery environment. The Data Scientist will use data mining, statistics and machine learning to understand relationships and patterns in data, build predictive models and propose actionable solutions.
Key Responsibilities include
:
Collaborate with administrative leaders, clinicians and IT specialists
Query large datasets from multiple systems
Build machine learning models
Design and implementation of pilots for validation and optimization of models in real time
Produce technical documentation, visualizations and presentations
Project management for complex tasks
Completes own work independently
Performs other related duties as assigned or requested.
Basic education, experience and skills required for consideration:
Master’s degree with 0+ years of experience; or Bachelor’s degree with 3+ years of experience
Preferred education experience and skills:
Familiarity with a health care environment and EHR data
Time series analysis
Awareness of the most recent trends and developments in the Data Science / Machine Learning fields
Experience with data analytics within industry or academic environment, developing and successfully implementing statistical and machine learning models for data mining, classification, prediction and clustering
Experience with relational databases and SQL queries.
Must be knowledgeable in at least one scientific computing language such as Python (e.g. pandas, scikit-learn, genism, seaborn, tensorflow) or R (e.g. caret, dplyr, ggplot2)
Familiarity and experience with Machine learning (RandomForest, XGBoost/ LightGBM, etc.) and deep learning (CNN, RNN, LSTM, etc.) techniques
Proficiency in at least one programming language (e.g. Python, Java, C/C++)
Ability to work independently and use creative approaches to problem- solving
Capable of turning questions into testable hypotheses, extracting data from complex databases, creating and evaluating statistical models
Experience in data visualization and ability to communicate results to a non-technical audience
Experience in completing end to end projects with minimal to no supervision
Experience in being a part of big projects with many internal and external teams involved
Experience managing collaborative data science projects
Additional Information:
As a condition of employment, City of Hope requires staff to comply with all state and federal vaccination mandates.
Insert additional texts and add bullets if applicable
City of Hope is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability."
45,2022 Associate Data Scientist,T. Rowe Price,,"New York, NY+1 location",3.6,"A career at T. Rowe Price says you want to contribute and make a difference at a leading global investment management firm where success results from the dedication our associates have in building success for our clients. We are a growing organization of associates from diverse backgrounds, experiences, and perspectives.
We take a long-term view on associates and their careers. Our associates do phenomenal work with purpose, and as a result, we provide growth opportunities through in-person and online training, management development programs, and career development on the job.
If you are seeking a meaningful work experience along with a workplace culture that thrives on teamwork, we invite you to explore the opportunity to join us.
Associate Data Scientist
For 80 years, T. Rowe Price has changed the investment management industry by delivering world-class service and guidance to individuals and institutions around the globe. Our shared values enable us to create a dynamic workplace that cultivates high achievement from diverse professionals in a variety of disciplines. Built on a tradition of integrity, we are committed to our clients and employees and focused on sustained growth and success.
We’re seeking dedicated associate data scientists to support and contribute to the Data Science project life cycle for the firm. You will recommend and develop technical solutions based on partnerships with business stakeholders with guidance from senior data scientists. This is a chance to create an impact on our business as a part of a broader technology transformation!
Program Structure:
The Global Technology cohort program blends on the-job experience with capstone projects, hackathons, and learning/social events. The program is non-rotational with direct placement into a functional area based on your skillset and business unit needs. The program will focus on the pillars of education, exposure, experience, and engagement. These programmatic elements include customized learning curriculum, exposure to senior leadership, community service projects, assigned mentors, and social activities.
Role Summary & Job Responsibilities:
As an Associate Data Scientist you will:
Partner with senior data scientists to implement data science solutions for business use cases
Prepare, clean and merge datasets, and apply feature engineering and selection techniques
Create data visualizations, and written or verbal reports to present findings to non-technical audiences and business stakeholders
Apply statistical methods and machine learning models to create actionable findings
Work with existing common components and services, such as machine learning models, data pipelines and cloud technologies
Build industry knowledge to understand the work of the team and the role Data Science plays
FINRA licenses are not required and will not be supported for this role.
Required Qualifications
Full time student with an expected graduation date of December 2021 – May/June 2022.
Minimum GPA: 3.00 overall
Major: Quantitative field such as Data Science, Computer Science, Statistics, Mathematics, Physics, or Engineering
Previous internships in data science strongly preferred;
Actively seeks feedback and mentorship in order to improve technical skills (e.g., through submitting work for code or model review)
Demonstrate competence in at least one programming language – Python highly preferred
A commitment to continuous learning and development
Opportunities are available in
New York, NY.
T. Rowe Price is committed to providing our associates with a comprehensive total rewards benefit program, including wellness, retirement and quality-of-life benefits.
Please view
What We Offer
to see what's available to you.
T. Rowe Price is committed to providing our associates with a comprehensive total rewards benefit program, including wellness, retirement and quality-of-life benefits.
Please view
What We Offer
to see what's available to you.
As part of T. Rowe Price’s Health and Safety protocols, effective October 19, 2021, any US-based new hires, including interns will be required to be fully vaccinated against COVID-19 or have a valid medical or religious exemption from receiving a COVID-19 vaccine.
T. Rowe Price is an equal opportunity employer and values diversity of thought, gender, and race. We believe our continued success depends upon the equal treatment of all associates and applicants for employment without discrimination on the basis of race, religion, creed, colour, national origin, sex, gender, age, mental or physical disability, marital status, sexual orientation, gender identity or expression, citizenship status, military or veteran status, pregnancy, or any other classification protected by country, federal, state, or local law."
46,Data Scientist - Algorithm Engineer,Zynex Medical,"$90,000 - $150,000 a year","Remote in Englewood, CO",3.8,"Job Details
Job Location
Corporate HeadQuarters - Englewood, CO
Remote Type
Optional Work from Home
Position Type
Full Time
Education Level
Graduate Degree
Salary Range
$90,000.00 - $150,000.00 Salary/year
Job Shift
Day
Data Scientist - Algorithm Engineer
Data Scientist-Algorithm Engineer
The Data Scientist/Algorithms Engineer is responsible for working with project teams in defining the need for mathematical/statistical/algorithm development in any given project or process; generating mathematical analyses and algorithms; performing statistical analyses; performing experiments; and documenting research and development efforts.
Join us in developing the next generation of non-invasive patient monitoring devices that will change standards of care, improve patient outcomes, and save lives. If you are looking to join an amazing company that is passionate about making a difference in patient’s lives, then Zynex is the place for you.
Location: Hybrid position, combination of remote, Boulder, CO and/or Englewood, CO
Zynex Offers Exceptional Benefits (Full-Time Roles):
Premium starting pay
Health, dental, & vision insurance
401k with company contribution
8 paid holidays + up to 2 additional floating holidays (1 every 6 months)
3 weeks Paid Time Off (PTO) for sick or vacation time; increases to 4 weeks after 2 years with the company
Annual
LinkedIn Learning
subscription to facilitate employee skill and competency development
Health & wellness bonus up to $50/month
Frequent opportunities for role transitions and advancements
Weekly employee appreciation activities/perks
Up to $75/month reimbursement for community volunteer hours
Employee product discounts
Essential Job Duties and Responsibilities:
Confer with customers, marketing, management, engineers, researchers, and scientists to determine the need for, and to define the requirements of, desired mathematical/statistical/algorithm development for new or ongoing projects, processes, or products.
Prepare engineering analyses of mathematical projects which may include: preliminary system design, development of product and/or user requirements, life cycle analysis, testing, and verification and validation (V&V) needs.
Develop, design, and integrate mathematical, statistical, and algorithmic processes and/or products for manufacturing, new product or process development, or for modifications to existing products or processes.
Select and utilize mathematical design software to perform engineering tasks.
Develop project plans, budgets, and schedules.
Manage project issues, budgets, and schedules to bring projects in on time, within budget, and to assure that the engineering output meets the design requirements and specifications.
Develop, prepare, review, and critique proposed changes to project and engineering documentation including requirements, specifications, drawings, test protocols, test reports, standards, policies, work instructions, and procedures.
Design, develop, implement, and document experimental protocols, including benchtop, laboratory, in vitro and in vivo studies.
Stay abreast of the mathematical techniques and algorithms, as well as the science, physics, and medicine that apply to the Company’s products.
Perform all job duties in accordance with the Company’s Quality System procedures where applicable.
Alert management to any safety concerns with the performance of any assigned tasks. Utilize the appropriate safety precautions and equipment necessary to perform all tasks. Participate in creating a safe working environment for her or himself and those whom she or he supervises.
Additional Responsibilities
Provide technical presentations to elected officials, appointed boards/commissions, the public, and staff.
Work requires travel to meetings, site visits, and inspections.
Work requires willingness to work a flexible schedule including weekends and evenings as necessary.
Other duties as assigned.
Required Knowledge and Skills:
Work requires high level of attention to detail and advanced background in applied mathematics, specifically linear algebra, harmonic analysis, probability/statistics, and numerical methods
An M.S. or Ph.D. in applied mathematics, statistics, or digital signal processing, and a minimum of two years of design experience in a scientific or engineering environment.
A high level of proficiency in scientific programming in either MatLab or Python and proficiency with C/C++ for embedded applications.
Expertise in experimental design, data collection and exploratory data analysis/visualization.
Understanding of basic electronics and data acquisition techniques.
Excellent written and oral communication skills and high level of proficiency in the English language.
Fluency with Microsoft Office Suite (Word, Excel, PowerPoint).
Desired Knowledge and Skills:
Extensive knowledge of multivariate statistical analysis including regression analysis and dimensionality reduction techniques.
Familiarity with classical machine learning techniques as well as neural network models.
Background in biostatistics related to statistical design of clinical studies including power analysis and basic statistical inference.
Familiarity with time series analysis and digital filtering.
Experience in the medical device industry or other industry operating under a quality management system.
Experience in biology or chemistry laboratory setting.
Operation of lab equipment including medical analyzers.
Knowledge of basic anatomy and physiology.
Knowledge of the principles of photoplethysmography and its application to pulse oximetry
Note: This job description is not intended to be an exhaustive list of all duties, responsibilities or qualifications associated with the job.
**Employees are held accountable for all duties of this job**
Zynex Medical, Inc and Zynex Monitoring Solutions are Equal Opportunity/Affirmative Action employers"
47,Data Scientist,Simon & Schuster,,"Concord, MA",3.6,"Simon & Schuster is a global leader in general interest publishing, dedicated to providing the best in fiction and nonfiction for readers of all ages, and in all printed, digital and audio formats. Its distinguished roster of authors includes many of the world’s most popular and widely recognized writers, and winners of the most prestigious literary honors and awards.
It is home to numerous well-known imprints and divisions such as Simon & Schuster, Scribner, Atria Books, Gallery Books, Pocket Books, Adams Media, Simon & Schuster Children’s Publishing and Simon & Schuster Audio and international companies in Australia, Canada, India and the United Kingdom, and proudly brings the works of its authors to readers in more than 200 countries and territories. For more information visit our website at www.simonandschuster.com.
We are currently looking for a Data Scientist to join the Adams Media team and support our 360 data-driven acquisition and marketing model. This position will report to the publisher and work closely with both editorial and marketing leadership.
Adams Media, an imprint of Simon & Schuster informs, instructs, and inspires readers across a variety of lifestyle categories by providing the content they’re looking for, from the experts they follow and trust. From New Age to Personal Finance, Cooking to Self-Help, Adams Media researches, identifies, creates, and distributes accessible content with implicit discoverability. Embodying a uniquely flexible “ground-up” publishing model, Adams Media navigates within or between consumer categories as market opportunity dictates. These are the books people are searching for!
The Data Scientist is responsible for supporting data science initiatives that drive product development, business profitability and increased efficiencies. This role applies strategic analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems.
As a Data Scientist, you will collaborate with business partners and cross-functional teams to apply advanced analytics methods and algorithms for identifying trends and providing business solutions. In addition, this role is expected to present insights and recommendations to non-technical audiences, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.
MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES
55% Solution Development – Familiarize yourself with our existing line of internal tools – which includes both custom built products and third party applications – and understand their value to each department and to the company as a whole. Design and develop algorithms and models to use against large datasets to create business insights; Execute tasks with high levels of efficiency and quality; Make appropriate selection, utilization and interpretation of advanced analytical methodologies. Work with central science, engineering and product teams to implement improvements.
20% Business Collaboration – Incorporate business knowledge into solution approach; Effectively develop trust and collaboration with internal customers and cross-functional teams; Work with project teams and business partners to determine project goals
15% Technical Exploration & Development – Seek further knowledge on key developments within data science, technical skill sets, and additional data sources
10% Communicating Results – Effectively communicate insights and recommendations to both technical and non-technical leaders; Present recommendations in a confident manner in order to influence execution of recommendation; Prepare reports, updates and/or presentations related to progress made on a project or solution; Clearly communicate impacts of recommendations to drive alignment and appropriate implementation
QUALIFICATIONS
An undergraduate degree in mathematics, statistics, computer science, economics, industrial engineering, data science, or a social science with a quantitative focus. MS preferred
Multiple years of relevant work experience in BI, Analytics, Data Science or comparable fields
Proven experience with relational databases, data querying languages (e.g. SQL), scripting languages (e.g. Python, R), or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) as well as Google Cloud Platform, including BigQuery
Relevant working experience in transformation, optimization and analysis of massive structured and unstructured data sets
Track record of developing and applying statistical/ML models to business problems
Experience in working on and delivering end-to-end projects independently
Experience processing, filtering, and working with large datasets
Experience designing experiments, and ability to infer causal relationships
Excellent written and verbal communication skills including data visualization, especially in regards to quantitative topics discussed with non-technical colleagues
Experience with search engine optimization topics such as information retrieval and query classification
Experience collaborating with software development teams, data scientists, business intelligence or other technical roles
Ability to effectively advocate technical solutions to data and engineering teams, and business audiences
Strong organizational and multitasking skills with ability to balance competing priorities in a fast-paced environment
Curiosity and a desire to both learn about and positively impact business model
Please note that Adams Media is located in Stoughton, MA but we are open to candidates that would prefer to remain remote.
ViacomCBS is an equal opportunity employer (EOE) including disability/vet.
At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.
If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling
212.846.5500
or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
48,Data Scientist,SYNTASA,,"Remote in McLean, VA",3.5,"Data Scientist
Guide our customers in their adoption of AI and Machine Learning, helping them to realize whole potential of modern data science and data-driven approaches
Develop a deep understanding of customers’ context and help them translate the business use cases into data science solutions
Effectively manage the delivery to our customers of professional services that include assisted software installation, customer training/coaching, and co-development of data science projects
Maintain consistent and concise internal communication across multiple teams
Ensure customer satisfaction throughout the implementation process
Location
Herndon, Virginia
Department
Engineering
Employment Type
Full-Time
Minimum Experience
Experienced"
49,REMOTE - Data Scientist - Bus Ops and Finance,City of Hope,,"Remote in Irwindale, CA+1 location",3.7,"About City of Hope
City of Hope is an independent biomedical research and treatment organization for cancer, diabetes and other life-threatening diseases.
Founded in 1913, City of Hope is a leader in bone marrow transplantation and immunotherapy such as CAR T cell therapy. City of Hope’s translational research and personalized treatment protocols advance care throughout the world. Human synthetic insulin, monoclonal antibodies and numerous breakthrough cancer drugs are based on technology developed at the institution. AccessHope™, a subsidiary launched in 2019 serves employers and their health care partners by providing access to City of Hope’s specialized cancer expertise.
A National Cancer Institute-designated comprehensive cancer center and a founding member of the National Comprehensive Cancer Network, City of Hope is ranked among the nation’s “Best Hospitals” in cancer by U.S. News & World Report and received Magnet Recognition from the American Nurses Credentialing Center. Its main campus is located near Los Angeles, with additional locations throughout Southern California and in Arizona.
City of Hope’s commitment to Diversity, Equity and Inclusion
We believe diversity, equity and inclusion is key in serving our mission to provide compassionate patient care, drive innovative discovery, and advance vital education focused on eliminating cancer and diabetes in all of our communities. Our commitment to Diversity, Equity and Inclusion ensures we bring the full range of skills, perspectives, cultural backgrounds and experiences to our work - and that our teams align with the people we serve in order to build trust and understanding. We are dedicated to fostering a community that embraces diversity - in ideas, backgrounds and perspectives; this is reflected in our work and represented in our people.
** This is a Fully Remote Opportunity. You may sit at any of the 48 States **
Position Summary
City of Hope, an innovative biomedical research, treatment and educational institution with over 6000 employees, is dedicated to the prevention and cure of cancer and other life-threatening diseases and guided by a compassionate, patient-centered philosophy.
Founded in 1913 and headquartered in Duarte, California, City of Hope is a remarkable non-profit institution, where compassion and advanced care go hand-in-hand with excellence in clinical and scientific research. City of Hope is a National Cancer Institute designated Comprehensive Cancer Center and a founding member of the National Comprehensive Cancer Network, an alliance of the nation’s leading cancer centers that develops and institutes standards of care for cancer treatment.
The Data Scientist in this role will query and analyze large complex datasets to discover insights to apply to an evolving cancer care delivery environment. The Data Scientist will use data mining, statistics and machine learning to understand relationships and patterns in data, build predictive models and propose actionable solutions.
Key Responsibilities include
:
Collaborate with administrative leaders, clinicians and IT specialists
Query large datasets from multiple systems
Build machine learning models
Design and implementation of pilots for validation and optimization of models in real time
Produce technical documentation, visualizations and presentations
Project management for complex tasks
Completes own work independently
Performs other related duties as assigned or requested.
Basic education, experience and skills required for consideration:
Master’s degree with 0+ years of experience; or Bachelor’s degree with 3+ years of experience
Preferred education experience and skills:
Familiarity with a health care environment and EHR data
Time series analysis
Awareness of the most recent trends and developments in the Data Science / Machine Learning fields
Experience with data analytics within industry or academic environment, developing and successfully implementing statistical and machine learning models for data mining, classification, prediction and clustering
Experience with relational databases and SQL queries.
Must be knowledgeable in at least one scientific computing language such as Python (e.g. pandas, scikit-learn, genism, seaborn, tensorflow) or R (e.g. caret, dplyr, ggplot2)
Familiarity and experience with Machine learning (RandomForest, XGBoost/ LightGBM, etc.) and deep learning (CNN, RNN, LSTM, etc.) techniques
Proficiency in at least one programming language (e.g. Python, Java, C/C++)
Ability to work independently and use creative approaches to problem- solving
Capable of turning questions into testable hypotheses, extracting data from complex databases, creating and evaluating statistical models
Experience in data visualization and ability to communicate results to a non-technical audience
Experience in completing end to end projects with minimal to no supervision
Experience in being a part of big projects with many internal and external teams involved
Experience managing collaborative data science projects
Additional Information:
As a condition of employment, City of Hope requires staff to comply with all state and federal vaccination mandates.
Insert additional texts and add bullets if applicable
City of Hope is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability."
50,Data Scientist 1,Techtronic Industries (TTI),,"Anderson, SC",3.6,***********HTML ERROR DURING MIGRATION FROM ADP TO WD******
51,Junior Data Scientist,PIÑATA SCIENCES,,"Boston, MA",,"Pinata Scienes is looking for an up and coming Data Scientist. This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word business value. In addition to building solutions, you must possess the aptitude and hunger to learn. As an energetic data scientist you will be responsible for taking in person findings and developing practical business solutions for our clients. In order to succeed in this role, you must be passionate about solving business problems using data science.
Come bust open some data with us!
MAIN REQUIREMENTS:
Some experience building and implementing predictive models
Excellent customer engagement skills
Strong organizational, communication, writing and interpersonal skills
Expereience with a variety of technical tools for the manipulation of datasets
1-2 years of real-world business experience
Up to 50% travel
DESIRED SKILLS:
Experience with machine learning techniques
Fluency with scripting (Python / R)
Experience with Hadoop and related Big Data technologies"
52,Data Scientist,RenoFi,,Remote,,"As a Data Scientist you'll work with the team to build new product functionality from start to finish as well as polish the existing data products. We are working on a set of interesting problems that includes Risk Scoring and Automated Valuation Models, that help our customers compare their home value after the renovation.
Our team is focused on crafting an experience that makes the complex process of financing a renovation accessible and easy to understand. On a given day, we might be working on the interfaces that will help homeowners navigate the process of financing their renovation, or the systems that enable our lending partners.
What you’ll do at RenoFi
Design and build data products using ML techniques such as Auto Valuation Models
Mine vast amounts of data for useful insights; use these insights to influence how an organization approaches business challenges
Use a combined knowledge of computer science and applications, modelling, statistics, analytics and maths to solve problems
Extract data from multiple sources
Sift and analyze data from multiple angles, looking for trends that highlight problems or opportunities
Communicate important information and insights to business
Make recommendations to adapt existing business strategies
What you'll bring to the team
You have professional experience with house market and AVM models
You have experience applying methods from machine learning and statistics to real-world datasets
Fluency in Python and familiarity with its scientific stack such as numpy, pandas, scikit learn
You have advance knowledge of SQL
You can write maintainable code that follows best practices
You are eager to put your models to production to get real customer feedback as soon as possible
Knowledge of GCP and cloud in general
What we offer
RenoFi has been built from the start as a fully distributed team with an intentional focus on growing a strong team and culture that spans time zones and nationalities.
RenoFi offers competitive cash and stock option compensation. Some benefit offerings will vary from country to country. In the United States, we offer competitive health and retirement plans. All staff across the globe enjoy a flexible vacation policy.
About RenoFi
RenoFi is a fintech startup that partners with lenders to make it possible to offer next generation of renovation loans to private customers. RenoFi is backed by some of the best startup investors in the world, including Canaan Partners and First Round Capital. For more information about RenoFi please visit: https://www.renofi.com/about/
We are committed to hiring and cultivating a diverse team. If you are uncertain about whether you meet our requirements, please apply anyway!
*
We are a globally distributed team*
RenoFi has been built from the start as a fully distributed team with an intentional focus on growing a strong team and culture that spans time zones and nationalities. Here's one fun example!
Please highlight any prior experience working remotely when applying. US or GMT-adjacent time zones will be prioritized.
RenoFi offers competitive cash and equity compensation. Some benefit offerings will vary from country to country. In the United States, we offer competitive health and retirement plans. All staff across the globe enjoy a flexible vacation policy.
*
Read more about RenoFi*
Our post announcing our funding: https://www.renofi.com/blog/financing-should-not-be-the-hardest-part-of-renovating/
Blog post by our lead investor announcing his investment in RenoFi: https://www.canaan.com/latest/brendan-dickinson-announcing-our-investment-in-renofi
National coverage by Housing Wire: https://www.housingwire.com/articles/renofi-raises-6-4-million-to-help-lenders-offer-home-renovation-loans/
Job Type: Full-time"
